abbreviation	aliases	name_uk	name_uk_synonym	name_en	iso_code	wiktionary_code
абх.		абхазька		Abkhaz	ab	ab
авар.		аварська		Avar	av	av
ав.	авест.	авестійська		Avestan	ae	ae
австрал.		австралійська		Australian		
австр.	австр.-нім., австрійськ., австрійсько-нім.	австрійська німецька		Austrian German		de
адиг.		адигейська		Adyghe	ady	ady
аз.		азербайджанська		Azerbaijani	az	az
айн.		айну		Ainu	ain	ain
ак.	аккад.	аккадська		Akkadian	akk	akk
ак.-ног.	ак-ног.	ак-ногайська		Ak Nogai		nog
алб.		албанська		Albanian	sq	sq
алгонкінськ.		алгонкінська		Algonquian		
алем.		алеманська		Alemannic	gsw	gsw
алт.		алтайська		Altai(c)		
амер.		американська англійська		American English		en
англ.		англійська		English	en	en
ар.	араб.	арабська		Arabic	ar	ar
ар.-перс.	перс.-ар.	арабсько-персидська		Arabo-Persian		
арам.		арамейська		Aramaic	arc	arc
арк.		аркадська грецька		Arcadian Greek		
аром.		аромунська		Aromanian	rup	rup
ассір.	ассир., арам.-сир., арам.-сір., айсор., новоассір.	ассирійська	айсорська	Assyrian	aii	aii
атт.	ат.	аттична грецька		Attic Greek		grc
афг.		афганська	пушту	Pashto	ps	ps
бав.	баварськ., бавар.	баварська		Bavarian	bar	bar
бав.-австрійськ.	бав.-австр., баварсько-австрійськ.	баварсько-австрійська		Austro-Bavarian		bar
балк.	балкан.	балканська		Balkan		
балкар.		балкарська		Balkar		krc
балт.	прибалт.	балтійська		Baltic		
балтосл.	балто-сл., балт.-сл.	балтослов’янська		Balto-Slavic		ine-bsl-pro
баск.		баскська		Basque	eu	eu
башк.		башкирська		Bashkir	ba	ba
белуджськ.		белуджійська		Balochi	bal	bal
бенг.		бенгалі		Bengali	bn	bn
беот.		беотійська грецька		Boeotic Greek		
бербер.		берберська		Berber		ber-pro
бессараб.		бессарабська		Bessarabian		
бр.		білоруська		Belarusian	be	be
болг.		болгарська		Bulgarian	bg	bg
брет.		бретонська		Breton	br	br
булг.		булгарська		Bulgar	xbo	xbo
бур.		бурятська		Buryat	bua	bua
вед.		ведійський санскрит		Vedic Sanskrit		
венет.	венец., венеціанськ.	венетська	венеційська	Venetian	vec	vec
вепс.		вепська		Veps	vep	vep
вл.		верхньолужицька		Upper Sorbian	hsb	hsb
вн.		верхньонімецька		High German		
вестфальськ.		вестфальська		Westphalian	wep	
віз.		візантійська грецька		Byzantine Greek		grc
віз.-гр.		візантійсько-грецька		Byzantine Greek		grc
вірм.		вірменська		Armenian	hy	hy
водськ.	вод.	водська		Votic	vot	vot
гаг.		гагаузька		Gagauz	gag	gag
галлороманськ.	галлором., галло-ром.	галло-романська		Gallo-Romance		
гал.		галльська		Gaulish		cel-gau
гебр.		гебрейська	іврит	Hebrew	he	he
гег.		гегський діалект албанської		Geg dialect of Albanian		sq
генуез.		генуезька		Genoa		lij
герм.		германська		Germanic		gem-pro
гінді.		гінді		Hindi	hi	hi
гол.	голл., нгол.	голландська	нідерландська	Dutch	nl	nl
гомер.	гом.	гомерівська грецька		Homeric Greek		grc
гот.		готська		Gothic	got	got
гр.		грецька	давньогрецька	Ancient Greek	grc	grc
груз.		грузинська		Georgian	ka	ka
гуц.		гуцульська		Hutsul		
дангл.		давньоанглійська	англосаксонська	Old English	ang	ang
дбрет.		давньобретонська		Old Breton		obt
двн.		давньоверхньонімецька		Old High German	goh	goh
дінд.	санскр., інд.	давньоіндійська	санскрит	Sanskrit	sa	sa
діран.		давньоіранська		Old Iranian		
дірл.		давньоірландська		Old Irish	sga	sga
дісл.		давньоісландська		Old Icelandic		non
дкельт.		давньокельтська		Old Celtic		
дкімр.		давньокімрська	давньоваллійська	Old Welsh	owl	owl
дкорн.		давньокорнська		Old Cornish		oco
длат.		давньолатинська		Old Latin		
давньолит.	длит.	давньолитовська		Old Lithuanian		olt
дмакед.		давньомакедонська		Ancient Macedonian	xmk	xmk
днн.		давньонижньонімецька	давньосаксонська	Old Low German		osx
днідерл.		давньонідерландська		Old Dutch	odt	odt
днфранк.		давньонімецько-франкська		Old German-Frankish?		
днорв.		давньонорвезька		Old Norwegian		non
дперс.		давньоперська		Old Persian	peo	peo
др.		давньоруська	давньосхіднослов'янська	Old East Slavic	orv	orv
дсканд.		давньоскандинавська		Proto-Norse		gmq-pro
дтюрк.		давньотюркська		Old Turkic		otk
дфр.	сфр.	давньофранцузька		Old French	fro	fro
дфриз.		давньофризька		Old Frisian	ofs	ofs
дшв.		давньошведська		Old Swedish		gmq-osw
дат.		датська		Danish	da	da
дор.		дорійська грецька		Doric Greek		grc
драв.		дравідійська		Dravidian		dra-pro
енецьк.		енецька		Enets		
еол.	еолійськ.	еолійська грецька		Aeolic Greek		grc
еп.		епідаврська грецька		Epidaurian Greek		grc
ерз.	морд.-ерз.	ерзянська		Erzya	myv	myv
еск.		ескімоська		Eskimo		esx-esk-pro
ест.		естонська		Estonian	et	et
етр.		етруська		Etruscan	ett	ett
еф.	ефіоп.	ефіопська		Ethiopian		
єг.	єгип.	єгипетська		Egyptian	egy	egy
жем.		жемайтська		Samogitian	sgs	sgs
ібер.		іберійська		Iberian	xib	xib
іллір.		іллірійська		Illyrian		xil
іє.	протоєвроп.	індоєвропейська		(Proto)-Indo-European		ine-pro
іон.		іонійська грецька		Ionic Greek		grc
ір.	іран.	іранська		Iranian		
ірл.		ірландська		Irish	ga	ga
ісл.		ісландська		Icelandic	is	is
ісп.		іспанська		Spanish	es	es
істрорум.		істрорумунська		Istro-Romanian	ruo	ruo
іт.	італ.	італійська		Italian	it	it
італьськ.		італьська		Italic		itc-pro
ід.	євр.	їдиш		Yiddish	yi	yi
кабард.	каб., черкеськ., кабардинськ., черк.	кабардинська	черкеська	Kabardian	kbd	kbd
каз.-тат.		казанська татарська		Kazan Tatar		tt
каз.	казах.	казахська		Kazakh	kk	kk
кайк.		кайкавська		Kajkavian	kjv	
калм.		калмицька		Kalmyk		xal
камас.		камасинська		Kamassian	xas	xas
кар.	караїм.	караїмська		Karaim	kdr	kdr
ккалп.	к.-калп.	каракалпакська		Karakalpak	kaa	kaa
карачаєво-балкар.		карачаєво-балкарська		Karachay-Balkar	krc	krc
карач.		карачаївська		Karachay		krc
карел.		карельська		Karelian	krl	krl
каріб.		карибська		Cariban		sai-car-pro
карп.		карпатська		Carpathian		
картв.		картвельська		Kartvelian		
качин.		качинська		Jingpho (Kachin)	kac	kac
каш.	кашуб.	кашубська		Kashubian	csb	csb
кельт.		кельтська		Celtic		cel-pro
кеч.		кечуа		Quechua		qu
саам. кильд.		кильдський діалект саамської мови		Kildin Sámi		sjd
кипч.		кипчацька		Kipchak		qwm
кирг.		киргизька		Kyrgyz	ky	ky
кит.		китайська		Chinese	zh	zh
кільд.		кільдинська		Kildin Sami	sjd	sjd
кімр.	вал.	кімрська	валлійська	Welsh	cy	cy
кола-лапськ. саам.		кола-лапська саамська		Kola Sámi		sjd
комі-зир.		комі-зирянська		Komi-Zyryan	kpv	kpv
комі-перм.		комі-перм’яцька		Komi-Permyak	koi	koi
копт.		коптська		Coptic	cop	cop
кор.		корейська		Korean	ko	ko
корн.		корнська		Cornish	kw	kw
крим.-гот.	крим.	кримсько-готська		Crimean Gothic		gme-cgo
крим.-тат.		кримсько-татарська		Crimean Tatar	crh	crh
кумик.	кум.	кумицька		Kumyk	kum	kum
курд.		курдська		Kurdish	ku	
курськ.		курська		Kursk		
лак.		лаконська грецька		Laconic Greek		
лангобард.		лангобардська		Lombardic	lng	
лат.		латинська		Latin	la	la
лтс.	лтв.	латиська		Latvian	lv	lv
лезг.		лезгинська		Lezgian	lez	lez
лемк.		лемківська		Lemko		rue
лесб.		лесбійська грецька		Lesbos Greek		grc
лит.		литовська		Lithuanian	lt	lt
лів.		лівська		Livonian	liv	liv
лік.	лікійськ.	лікійська		Lycian	xlc	xlc
лотарінг.		лотаринзька		Lorraine		
лув.		лувійська		Luwian		xlu
луж.		лужицька		Sorbian		
ляськ.		ляська		Lach		
м.	мак.	македонська		Macedonian	mk	mk
мал.		малайська		Malay	ms	ms
малаял.		малаялам		Malayalam	ml	ml
манс.	вогул.	мансійська	вогульська	Mansi	mns	mns
маньчж.		маньчжурська		Manchu	mnc	mnc
маратхськ.		маратхі		Marathi	mr	mr
мар.		марійська		Mari		chm-pro
мегр.	мінгрельськ.	мегрельська		Mingrelian	xmf	xmf
мексикансько-ісп.	мексикан.	мексиканська іспанська		Mexican Spanish		es
